date,event_code,goldstein,num_mentions,avg_tone,actor1,actor2,location,latitude,longitude,source_url
2025-11-03,173,-5.0,5,5,THE HAGUE,,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,80,5.0,3,3,DISPLACED PEOPLE,PARAMILITARY,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,186,-10.0,16,10,SUDAN,CIVILIAN,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,202,-10.0,2,2,SUDAN,HOSPITAL,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,202,-10.0,8,8,SUDAN,HOSPITAL,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,84,7.0,10,10,SUDAN,UNICEF,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,13,0.4,2,2,SUDAN,THE SECURITY COUNCIL,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,60,6.0,2,2,SUDAN,SUDAN,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-11-03,60,6.0,3,3,SUDAN,SUDAN,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,42,1.9,2,2,CIVILIAN,SUDAN,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,42,1.9,6,6,CIVILIAN,SUDAN,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-03,43,2.8,8,8,SUDAN,CIVILIAN,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-03,36,4.0,6,6,,REFUGEE,"Northern State, Ash Shamaliyah, Sudan",37091,19.3,-2852
2025-11-03,10,0.0,10,10,THE UN,,"El-Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,181,-9.0,10,10,WORLD HEALTH ORGANIZATION,DOCTOR,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,138,-7.0,10,10,PROSECUTOR,SUDAN,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,192,-9.5,10,10,PARAMILITARY FORCE,SUDANESE,"El-Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,1822,-9.0,2,2,SUDAN,,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,192,-9.5,2,2,DARFUR,GOVERNMENT FORCES,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,17,0.0,1,1,SOUTH SUDAN,POLITICIAN,Sudan,,16.0,SU
2025-10-27,51,3.4,10,10,RED CROSS,SUDAN,"Fasher, Kassala, Sudan",68803,15.0667,-5808
