isoab,name,pg_id,month_id,main_mean,main_mean_ln,main_dich
#country+code,#country+name,#priogrid+id,#date+month+id,#fatalities+pred+num,#fatalities+pred+ln+num,#fatalities+pred+prob
SDN,Sudan,149454,550,1.3906,0.8716,1.0
SDN,Sudan,149455,550,0.1205,0.1138,0.2955
SDN,Sudan,149456,550,0.1324,0.1244,0.3832
SDN,Sudan,149457,550,0.0712,0.0688,0.0733
SDN,Sudan,149458,550,0.0939,0.0898,0.1469
SDN,Sudan,149459,550,0.2448,0.219,0.9541
SDN,Sudan,149460,550,3.3439,1.4688,1.0
SDN,Sudan,149461,550,10.6536,2.4556,1.0
SDN,Sudan,149462,550,0.3183,0.2764,0.9943
SDN,Sudan,149463,550,0.3635,0.31,0.9984
SDN,Sudan,149464,550,0.1775,0.1634,0.7253
SDN,Sudan,149465,550,0.0618,0.0599,0.0539
SDN,Sudan,149466,550,0.0813,0.0782,0.1008
SDN,Sudan,149467,550,0.1985,0.1811,0.8359
SDN,Sudan,149468,550,1.045,0.7154,1.0
SDN,Sudan,149469,550,0.0661,0.064,0.0621
SDN,Sudan,149470,550,0.0629,0.061,0.056
SDN,Sudan,149471,550,0.2175,0.1968,0.9012
SDN,Sudan,149472,550,0.1545,0.1437,0.5597
SDN,Sudan,149473,550,1.0354,0.7107,1.0
SDN,Sudan,150166,550,0.352,0.3016,0.9978
SDN,Sudan,150167,550,0.0992,0.0946,0.1709
SDN,Sudan,150168,550,0.1388,0.1299,0.4331
SDN,Sudan,150169,550,0.3779,0.3205,0.9989
SDN,Sudan,150170,550,4.7616,1.7512,1.0
SDN,Sudan,150171,550,0.5023,0.407,1.0
SDN,Sudan,150172,550,10.8784,2.4747,1.0
SDN,Sudan,150173,550,0.3271,0.283,0.9955
SDN,Sudan,150174,550,0.155,0.1441,0.5637
SDN,Sudan,150175,550,0.1518,0.1413,0.5379
SDN,Sudan,150176,550,0.5508,0.4387,1.0
SDN,Sudan,150177,550,0.0984,0.0938,0.1668
SDN,Sudan,150178,550,0.0426,0.0417,0.0282
SDN,Sudan,150179,550,0.108,0.1026,0.2167
SDN,Sudan,150180,550,0.2318,0.2085,0.9336
SDN,Sudan,150181,550,0.3273,0.2831,0.9956
SDN,Sudan,150182,550,0.201,0.1831,0.846
SDN,Sudan,150183,550,1.104,0.7438,1.0
SDN,Sudan,150184,550,0.3381,0.2913,0.9967
SDN,Sudan,150185,550,0.0637,0.0618,0.0574
SDN,Sudan,150186,550,0.3156,0.2743,0.9939
SDN,Sudan,150187,550,1.2561,0.8136,1.0
SDN,Sudan,150188,550,1.1696,0.7745,1.0
SDN,Sudan,150189,550,0.0831,0.0798,0.1065
SDN,Sudan,150190,550,0.0291,0.0286,0.0175
SDN,Sudan,150191,550,0.0432,0.0423,0.0288
SDN,Sudan,150192,550,0.0858,0.0823,0.1156
SDN,Sudan,150193,550,0.4073,0.3416,0.9995
SDN,Sudan,150886,550,0.0775,0.0747,0.0895
SDN,Sudan,150887,550,0.0743,0.0717,0.0809
SDN,Sudan,150888,550,0.0829,0.0796,0.1056
SDN,Sudan,150889,550,0.1539,0.1431,0.5546
SDN,Sudan,150890,550,2.3201,1.2,1.0
SDN,Sudan,150891,550,0.7367,0.552,1.0
SDN,Sudan,150892,550,0.3269,0.2828,0.9955
SDN,Sudan,150893,550,0.188,0.1722,0.7858
SDN,Sudan,150894,550,0.1069,0.1016,0.2104
SDN,Sudan,150895,550,0.15,0.1397,0.5235
SDN,Sudan,150896,550,0.9315,0.6583,1.0
SDN,Sudan,150897,550,0.1265,0.1192,0.3386
SDN,Sudan,150898,550,0.0338,0.0332,0.0207
SDN,Sudan,150899,550,0.0414,0.0405,0.027
SDN,Sudan,150900,550,0.0692,0.0669,0.0687
SDN,Sudan,150901,550,0.0714,0.069,0.0737
SDN,Sudan,150902,550,0.0931,0.089,0.1432
SDN,Sudan,150903,550,0.1696,0.1566,0.6729
SDN,Sudan,150904,550,0.8496,0.615,1.0
SDN,Sudan,150905,550,0.9113,0.6478,1.0
SDN,Sudan,150906,550,1.206,0.7912,1.0
SDN,Sudan,150907,550,4.3262,1.6726,1.0
SDN,Sudan,150908,550,0.3426,0.2946,0.9971
SDN,Sudan,150909,550,0.0535,0.0521,0.0408
SDN,Sudan,150910,550,0.0243,0.024,0.0148
SDN,Sudan,150911,550,0.045,0.044,0.0306
SDN,Sudan,150912,550,0.0345,0.0339,0.0212
SDN,Sudan,150913,550,0.1058,0.1005,0.2042
SDN,Sudan,151607,550,0.0487,0.0475,0.0347
SDN,Sudan,151608,550,0.0839,0.0805,0.1089
SDN,Sudan,151609,550,0.2842,0.2501,0.9851
SDN,Sudan,151610,550,8.8443,2.2869,1.0
SDN,Sudan,151611,550,0.3064,0.2673,0.992
SDN,Sudan,151612,550,0.1787,0.1644,0.7328
SDN,Sudan,151613,550,1.5685,0.9433,1.0
SDN,Sudan,151614,550,0.1456,0.1359,0.4884
SDN,Sudan,151615,550,0.0676,0.0654,0.0653
SDN,Sudan,151616,550,0.0791,0.0762,0.0941
SDN,Sudan,151617,550,0.0411,0.0402,0.0267
SDN,Sudan,151618,550,0.0294,0.0289,0.0177
SDN,Sudan,151619,550,0.025,0.0247,0.0152
SDN,Sudan,151620,550,0.0263,0.0259,0.0159
SDN,Sudan,151621,550,0.0231,0.0228,0.0142
SDN,Sudan,151622,550,0.0336,0.033,0.0205
SDN,Sudan,151623,550,0.1463,0.1365,0.494
SDN,Sudan,151624,550,1.6221,0.964,1.0
SDN,Sudan,151625,550,0.3704,0.3151,0.9986
SDN,Sudan,151626,550,2.5745,1.2738,1.0
SDN,Sudan,151627,550,1.9235,1.0728,1.0
SDN,Sudan,151628,550,0.1727,0.1593,0.694
SDN,Sudan,151629,550,0.0495,0.0483,0.0357
SDN,Sudan,151630,550,0.0242,0.024,0.0148
SDN,Sudan,151631,550,0.0214,0.0212,0.0133
SDN,Sudan,151632,550,0.0204,0.0202,0.0129
SDN,Sudan,151633,550,0.0392,0.0384,0.025
SDN,Sudan,152329,550,0.1209,0.1141,0.2981
SDN,Sudan,152330,550,0.29,0.2546,0.9873
SDN,Sudan,152331,550,0.1457,0.136,0.4889
SDN,Sudan,152332,550,0.104,0.0989,0.1946
SDN,Sudan,152333,550,0.1195,0.1129,0.2887
SDN,Sudan,152334,550,0.0605,0.0587,0.0516
SDN,Sudan,152335,550,0.0379,0.0372,0.0239
SDN,Sudan,152336,550,0.03,0.0295,0.0181
SDN,Sudan,152337,550,0.0226,0.0223,0.0139
SDN,Sudan,152338,550,0.0184,0.0183,0.012
SDN,Sudan,152339,550,0.0198,0.0196,0.0126
SDN,Sudan,152340,550,0.0169,0.0168,0.0114
SDN,Sudan,152341,550,0.0174,0.0172,0.0115
